date,VV,VH,Orbit,Crop_Name,latitude,longitude
2021-07-24,-9.310959867579694,-16.937033414003945,DESCENDING,Ragi,12.74302,77.5813856
2021-08-05,-15.56270814262281,-21.95251874053229,DESCENDING,Ragi,12.74302,77.5813856
2021-08-17,-12.033095248683793,-22.02897808912128,DESCENDING,Ragi,12.74302,77.5813856
2021-08-29,-10.339616079450787,-18.89101013916882,DESCENDING,Ragi,12.74302,77.5813856
2021-09-10,-15.682527782419676,-14.208080249980675,DESCENDING,Ragi,12.74302,77.5813856
2021-09-22,-9.204353622085083,-15.897513939395566,DESCENDING,Ragi,12.74302,77.5813856
2021-10-04,-12.656206413088437,-16.641018815937535,DESCENDING,Ragi,12.74302,77.5813856
2021-10-16,-11.139196964118131,-16.119581848268012,DESCENDING,Ragi,12.74302,77.5813856
2021-10-28,-7.318630232581876,-17.773288815768232,DESCENDING,Ragi,12.74302,77.5813856
2021-04-07,-10.980203309949006,-20.60568012912391,DESCENDING,Ragi,12.7425026,77.5814268
2021-04-19,-12.258703444150063,-16.744413495966974,DESCENDING,Ragi,12.7425026,77.5814268
2021-05-01,-10.920470465661767,-20.420892378627485,DESCENDING,Ragi,12.7425026,77.5814268
2021-05-13,-7.79741122122825,-15.596414951758156,DESCENDING,Ragi,12.7425026,77.5814268
2021-05-25,-8.857564403932377,-22.68311512297835,DESCENDING,Ragi,12.7425026,77.5814268
2021-06-06,-5.264421003436571,-19.295578338315927,DESCENDING,Ragi,12.7425026,77.5814268
2021-06-18,-4.723736165620788,-18.34296373579663,DESCENDING,Ragi,12.7425026,77.5814268
2021-06-30,-6.285491403513981,-17.8612791068054,DESCENDING,Ragi,12.7425026,77.5814268
2021-07-12,-6.680963771992204,-23.221880219699468,DESCENDING,Ragi,12.7425026,77.5814268
2021-07-24,-8.494616449892693,-19.072174735047064,DESCENDING,Ragi,12.7425026,77.5814268
2021-08-05,-10.303854488852073,-18.690678099749626,DESCENDING,Ragi,12.7425026,77.5814268
2021-08-17,-11.447159891079696,-22.263819414111982,DESCENDING,Ragi,12.7425026,77.5814268
2021-08-29,-10.281872436824909,-17.163963895441587,DESCENDING,Ragi,12.7425026,77.5814268
2021-09-10,-7.057506462215089,-13.055553784006939,DESCENDING,Ragi,12.7425026,77.5814268
2021-09-22,-8.266911699630219,-12.177925806230153,DESCENDING,Ragi,12.7425026,77.5814268
2021-10-04,-5.884251180043359,-17.080659252722803,DESCENDING,Ragi,12.7425026,77.5814268
2021-10-16,-7.837212498694086,-13.964818129454319,DESCENDING,Ragi,12.7425026,77.5814268
2021-10-28,-8.582813417469653,-14.297721796493065,DESCENDING,Ragi,12.7425026,77.5814268
2021-04-07,-11.448093312073153,-18.853603916813157,DESCENDING,Ragi,12.7428641,77.581965
2021-04-19,-9.011440524401106,-16.019795193083887,DESCENDING,Ragi,12.7428641,77.581965
2021-05-01,-8.96889726773342,-16.516369314353415,DESCENDING,Ragi,12.7428641,77.581965
2021-05-13,-7.914487871554715,-16.528884631021455,DESCENDING,Ragi,12.7428641,77.581965
2021-05-25,-8.05060947932052,-20.101306332929667,DESCENDING,Ragi,12.7428641,77.581965
2021-06-06,-7.116196778147366,-13.034344177191961,DESCENDING,Ragi,12.7428641,77.581965
2021-06-18,-10.200373913778346,-16.715013292878314,DESCENDING,Ragi,12.7428641,77.581965
2021-06-30,-10.600926066583591,-18.060265490673785,DESCENDING,Ragi,12.7428641,77.581965
2021-07-12,-11.098756078081454,-15.440413154837113,DESCENDING,Ragi,12.7428641,77.581965
2021-07-24,-12.178751076470451,-15.493567203286089,DESCENDING,Ragi,12.7428641,77.581965
2021-08-05,-6.801683787843596,-16.054751497762062,DESCENDING,Ragi,12.7428641,77.581965
2021-08-17,-12.314441305151098,-18.13335838659485,DESCENDING,Ragi,12.7428641,77.581965
2021-08-29,-13.31157404554136,-15.764881488580254,DESCENDING,Ragi,12.7428641,77.581965
2021-09-10,-9.660496952246042,-15.19566312827022,DESCENDING,Ragi,12.7428641,77.581965
2021-09-22,-10.45623354370413,-15.81473897791569,DESCENDING,Ragi,12.7428641,77.581965
2021-10-04,-6.252298035056143,-13.596976924825404,DESCENDING,Ragi,12.7428641,77.581965
2021-10-16,-12.597406631180593,-16.359347293733165,DESCENDING,Ragi,12.7428641,77.581965
2021-10-28,-9.667064316156976,-14.645338035313252,DESCENDING,Ragi,12.7428641,77.581965
2021-04-07,-7.9088588234764945,-15.296822355469216,DESCENDING,Ragi,12.74283,77.5788317
2021-04-19,-7.163449345683647,-17.491142561645383,DESCENDING,Ragi,12.74283,77.5788317
2021-05-01,-7.147756394430821,-17.519958005689496,DESCENDING,Ragi,12.74283,77.5788317
2021-05-13,-6.371415400311566,-16.477420782948734,DESCENDING,Ragi,12.74283,77.5788317
2021-05-25,-7.144801049365698,-14.343280190806148,DESCENDING,Ragi,12.74283,77.5788317
2021-06-06,-6.40039256004405,-12.913223044741686,DESCENDING,Ragi,12.74283,77.5788317
2021-06-18,-9.911782125860375,-13.871560768350255,DESCENDING,Ragi,12.74283,77.5788317
2021-06-30,-7.068180514957466,-15.101749548809169,DESCENDING,Ragi,12.74283,77.5788317
2021-07-12,-9.31404254192303,-15.731986288357456,DESCENDING,Ragi,12.74283,77.5788317
2021-07-24,-7.356264038927146,-12.19198293695419,DESCENDING,Ragi,12.74283,77.5788317
2021-08-05,-10.862389367334133,-16.852088184004536,DESCENDING,Ragi,12.74283,77.5788317
2021-08-17,-4.6633446951653,-11.513513209489009,DESCENDING,Ragi,12.74283,77.5788317
2021-08-29,-6.85161634016858,-13.96042561924758,DESCENDING,Ragi,12.74283,77.5788317
2021-09-10,-7.935805350118642,-11.739429593002344,DESCENDING,Ragi,12.74283,77.5788317
2021-09-22,-9.56020293002714,-15.741650860364832,DESCENDING,Ragi,12.74283,77.5788317
2021-10-04,-8.34856487057021,-16.95131795167907,DESCENDING,Ragi,12.74283,77.5788317
2021-10-16,-7.176045405984526,-15.30290534122549,DESCENDING,Ragi,12.74283,77.5788317
2021-10-28,-8.825108122017943,-17.51993332809841,DESCENDING,Ragi,12.74283,77.5788317
2021-04-07,-9.358944999692612,-18.47995043910921,DESCENDING,Ragi,12.742845,77.5788217
2021-04-19,-7.163449345683647,-17.491142561645383,DESCENDING,Ragi,12.742845,77.5788217
2021-05-01,-7.147756394430821,-17.519958005689496,DESCENDING,Ragi,12.742845,77.5788217
2021-05-13,-6.371415400311566,-16.477420782948734,DESCENDING,Ragi,12.742845,77.5788217
2021-05-25,-7.144801049365698,-14.343280190806148,DESCENDING,Ragi,12.742845,77.5788217
2021-06-06,-6.785823824768588,-13.500739442021326,DESCENDING,Ragi,12.742845,77.5788217
2021-06-18,-9.911782125860375,-13.871560768350255,DESCENDING,Ragi,12.742845,77.5788217
2021-06-30,-7.068180514957466,-15.101749548809169,DESCENDING,Ragi,12.742845,77.5788217
2021-07-12,-9.31404254192303,-15.731986288357456,DESCENDING,Ragi,12.742845,77.5788217
2021-07-24,-7.356264038927146,-12.19198293695419,DESCENDING,Ragi,12.742845,77.5788217
2021-08-05,-10.862389367334133,-16.852088184004536,DESCENDING,Ragi,12.742845,77.5788217
2021-08-17,-4.6633446951653,-11.513513209489009,DESCENDING,Ragi,12.742845,77.5788217
2021-08-29,-6.85161634016858,-13.96042561924758,DESCENDING,Ragi,12.742845,77.5788217
2021-09-10,-7.935805350118642,-11.739429593002344,DESCENDING,Ragi,12.742845,77.5788217
2021-09-22,-10.843693210475783,-15.76397765380924,DESCENDING,Ragi,12.742845,77.5788217
2021-10-04,-8.412278586970874,-13.158996681156776,DESCENDING,Ragi,12.742845,77.5788217
2021-10-16,-5.604315160725109,-17.197566959189366,DESCENDING,Ragi,12.742845,77.5788217
2021-10-28,-9.206810505698732,-14.804237827738318,DESCENDING,Ragi,12.742845,77.5788217
2021-04-07,-10.980203309949006,-20.60568012912391,DESCENDING,Ragi,12.7425133,77.58143
2021-04-19,-12.258703444150063,-16.744413495966974,DESCENDING,Ragi,12.7425133,77.58143
2021-05-01,-10.920470465661767,-20.420892378627485,DESCENDING,Ragi,12.7425133,77.58143
2021-05-13,-7.79741122122825,-15.596414951758156,DESCENDING,Ragi,12.7425133,77.58143
2021-05-25,-6.409195929806489,-19.57872322044505,DESCENDING,Ragi,12.7425133,77.58143
2021-06-06,-5.264421003436571,-19.295578338315927,DESCENDING,Ragi,12.7425133,77.58143
2021-06-18,-4.723736165620788,-18.34296373579663,DESCENDING,Ragi,12.7425133,77.58143
2021-06-30,-6.285491403513981,-17.8612791068054,DESCENDING,Ragi,12.7425133,77.58143
2021-07-12,-6.680963771992204,-23.221880219699468,DESCENDING,Ragi,12.7425133,77.58143
2021-07-24,-8.494616449892693,-19.072174735047064,DESCENDING,Ragi,12.7425133,77.58143
2021-08-05,-10.303854488852073,-18.690678099749626,DESCENDING,Ragi,12.7425133,77.58143
2021-08-17,-11.447159891079696,-22.263819414111982,DESCENDING,Ragi,12.7425133,77.58143
2021-08-29,-10.533613592327809,-16.0060649591833,DESCENDING,Ragi,12.7425133,77.58143
2021-09-10,-7.057506462215089,-13.055553784006939,DESCENDING,Ragi,12.7425133,77.58143
2021-09-22,-8.266911699630219,-12.177925806230153,DESCENDING,Ragi,12.7425133,77.58143
2021-10-04,-5.884251180043359,-17.080659252722803,DESCENDING,Ragi,12.7425133,77.58143
2021-10-16,-8.379133323378891,-14.095577982637284,DESCENDING,Ragi,12.7425133,77.58143
2021-10-28,-8.582813417469653,-14.297721796493065,DESCENDING,Ragi,12.7425133,77.58143
2021-04-07,-10.980203309949006,-20.60568012912391,DESCENDING,Ragi,12.7425294,77.5814233
2021-04-19,-12.258703444150063,-16.744413495966974,DESCENDING,Ragi,12.7425294,77.5814233
2021-05-01,-10.920470465661767,-20.420892378627485,DESCENDING,Ragi,12.7425294,77.5814233
2021-05-13,-8.532731153725596,-13.80846507705241,DESCENDING,Ragi,12.7425294,77.5814233
2021-05-25,-8.857564403932377,-22.68311512297835,DESCENDING,Ragi,12.7425294,77.5814233
2021-06-06,-5.264421003436571,-19.295578338315927,DESCENDING,Ragi,12.7425294,77.5814233
2021-06-18,-4.723736165620788,-18.34296373579663,DESCENDING,Ragi,12.7425294,77.5814233
2021-06-30,-6.285491403513981,-17.8612791068054,DESCENDING,Ragi,12.7425294,77.5814233
2021-07-12,-7.028991528060215,-22.565372703917802,DESCENDING,Ragi,12.7425294,77.5814233
2021-07-24,-8.494616449892693,-19.072174735047064,DESCENDING,Ragi,12.7425294,77.5814233
2021-08-05,-10.303854488852073,-18.690678099749626,DESCENDING,Ragi,12.7425294,77.5814233
2021-08-17,-11.447159891079696,-22.263819414111982,DESCENDING,Ragi,12.7425294,77.5814233
2021-08-29,-10.533613592327809,-16.0060649591833,DESCENDING,Ragi,12.7425294,77.5814233
2021-09-10,-7.057506462215089,-13.055553784006939,DESCENDING,Ragi,12.7425294,77.5814233
2021-09-22,-8.266911699630219,-12.177925806230153,DESCENDING,Ragi,12.7425294,77.5814233
2021-10-04,-5.884251180043359,-17.080659252722803,DESCENDING,Ragi,12.7425294,77.5814233
2021-10-16,-8.379133323378891,-14.095577982637284,DESCENDING,Ragi,12.7425294,77.5814233
2021-10-28,-8.582813417469653,-14.297721796493065,DESCENDING,Ragi,12.7425294,77.5814233
2021-04-07,-15.8840113028293,-21.246883178538436,DESCENDING,Ragi,12.7430723,77.5813947
2021-04-19,-13.731318608983948,-18.30859232397178,DESCENDING,Ragi,12.7430723,77.5813947
2021-05-01,-10.045853847579531,-16.75152394771365,DESCENDING,Ragi,12.7430723,77.5813947
2021-05-13,-8.662489881268957,-15.392574044199606,DESCENDING,Ragi,12.7430723,77.5813947
2021-05-25,-5.971143728826708,-20.038267490096324,DESCENDING,Ragi,12.7430723,77.5813947
2021-06-06,-12.471236547487152,-21.35737757625824,DESCENDING,Ragi,12.7430723,77.5813947
2021-06-18,-7.0711289990241255,-18.696296698328343,DESCENDING,Ragi,12.7430723,77.5813947
2021-06-30,-7.126921059488634,-20.892088931381586,DESCENDING,Ragi,12.7430723,77.5813947
2021-07-12,-10.366664337093763,-21.817129611095535,DESCENDING,Ragi,12.7430723,77.5813947
2021-07-24,-9.310959867579694,-16.937033414003945,DESCENDING,Ragi,12.7430723,77.5813947
2021-08-05,-15.56270814262281,-21.95251874053229,DESCENDING,Ragi,12.7430723,77.5813947
2021-08-17,-12.033095248683793,-22.02897808912128,DESCENDING,Ragi,12.7430723,77.5813947
2021-08-29,-8.783090683145607,-19.550625757217396,DESCENDING,Ragi,12.7430723,77.5813947
2021-09-10,-15.861327153678825,-15.675374022851942,DESCENDING,Ragi,12.7430723,77.5813947
2021-09-22,-9.945590775923165,-13.867703402015405,DESCENDING,Ragi,12.7430723,77.5813947
2021-10-04,-12.656206413088437,-16.641018815937535,DESCENDING,Ragi,12.7430723,77.5813947
2021-10-16,-10.945252043660297,-16.793626714587578,DESCENDING,Ragi,12.7430723,77.5813947
2021-10-28,-7.318630232581876,-17.773288815768232,DESCENDING,Ragi,12.7430723,77.5813947
2021-04-07,-15.8840113028293,-21.246883178538436,DESCENDING,Ragi,12.7430483,77.5814117
2021-04-19,-13.731318608983948,-18.30859232397178,DESCENDING,Ragi,12.7430483,77.5814117
2021-05-01,-10.045853847579531,-16.75152394771365,DESCENDING,Ragi,12.7430483,77.5814117
2021-05-13,-8.80499408880705,-16.4849365045967,DESCENDING,Ragi,12.7430483,77.5814117
2021-05-25,-5.971143728826708,-20.038267490096324,DESCENDING,Ragi,12.7430483,77.5814117
2021-06-06,-10.32775829195069,-23.519285858943597,DESCENDING,Ragi,12.7430483,77.5814117
2021-06-18,-7.0711289990241255,-18.696296698328343,DESCENDING,Ragi,12.7430483,77.5814117
2021-06-30,-13.140641805566046,-23.39809975031365,DESCENDING,Ragi,12.7430483,77.5814117
2021-07-12,-11.051292158151194,-22.722519635129412,DESCENDING,Ragi,12.7430483,77.5814117
2021-07-24,-9.310959867579694,-16.937033414003945,DESCENDING,Ragi,12.7430483,77.5814117
2021-08-05,-15.56270814262281,-21.95251874053229,DESCENDING,Ragi,12.7430483,77.5814117
2021-08-17,-12.033095248683793,-22.02897808912128,DESCENDING,Ragi,12.7430483,77.5814117
2021-08-29,-10.339616079450787,-18.89101013916882,DESCENDING,Ragi,12.7430483,77.5814117
2021-09-10,-15.861327153678825,-15.675374022851942,DESCENDING,Ragi,12.7430483,77.5814117
2021-09-22,-7.692411621212884,-15.244865766919489,DESCENDING,Ragi,12.7430483,77.5814117
2021-10-04,-12.656206413088437,-16.641018815937535,DESCENDING,Ragi,12.7430483,77.5814117
2021-10-16,-10.534421891097551,-14.898616344755366,DESCENDING,Ragi,12.7430483,77.5814117
2021-10-28,-7.318630232581876,-17.773288815768232,DESCENDING,Ragi,12.7430483,77.5814117
2021-04-07,-10.324045417479425,-16.710952634114154,DESCENDING,Ragi,12.741945,77.5818914
2021-04-19,-8.49731196886117,-16.58452737146253,DESCENDING,Ragi,12.741945,77.5818914
2021-05-01,-13.871168604745803,-15.195005157835146,DESCENDING,Ragi,12.741945,77.5818914
2021-05-13,-11.545024810593743,-13.819789761763971,DESCENDING,Ragi,12.741945,77.5818914
2021-05-25,-9.475706871793616,-18.016843062548116,DESCENDING,Ragi,12.741945,77.5818914
2021-06-06,-7.59097096155045,-16.838303141902465,DESCENDING,Ragi,12.741945,77.5818914
2021-06-18,-11.07502683255811,-19.755151923862257,DESCENDING,Ragi,12.741945,77.5818914
2021-06-30,-8.050628895518903,-14.765366675221205,DESCENDING,Ragi,12.741945,77.5818914
2021-07-12,-8.450258629896087,-17.55791955682232,DESCENDING,Ragi,12.741945,77.5818914
2021-07-24,-8.245232164992114,-15.979038811716816,DESCENDING,Ragi,12.741945,77.5818914
2021-08-05,-10.186886488787579,-18.151472323718405,DESCENDING,Ragi,12.741945,77.5818914
2021-08-17,-11.250360183433122,-13.251976973471471,DESCENDING,Ragi,12.741945,77.5818914
2021-08-29,-7.061614102567896,-14.951491071716772,DESCENDING,Ragi,12.741945,77.5818914
2021-09-10,-4.574087509398509,-14.830458422910413,DESCENDING,Ragi,12.741945,77.5818914
2021-09-22,-7.559209273739627,-15.610522975671078,DESCENDING,Ragi,12.741945,77.5818914
2021-10-04,-5.107483252855602,-12.651910609817751,DESCENDING,Ragi,12.741945,77.5818914
2021-10-16,-9.431788601447385,-12.922917637490944,DESCENDING,Ragi,12.741945,77.5818914
2021-10-28,-7.367338118853358,-14.785264414935732,DESCENDING,Ragi,12.741945,77.5818914
2021-04-07,-11.20031645655019,-22.391211080501627,DESCENDING,Ragi,12.742508,77.5814354
2021-04-19,-12.258703444150063,-16.744413495966974,DESCENDING,Ragi,12.742508,77.5814354
2021-05-01,-10.920470465661767,-20.420892378627485,DESCENDING,Ragi,12.742508,77.5814354
2021-05-13,-7.79741122122825,-15.596414951758156,DESCENDING,Ragi,12.742508,77.5814354
2021-05-25,-6.409195929806489,-19.57872322044505,DESCENDING,Ragi,12.742508,77.5814354
2021-06-06,-5.264421003436571,-19.295578338315927,DESCENDING,Ragi,12.742508,77.5814354
2021-06-18,-4.723736165620788,-18.34296373579663,DESCENDING,Ragi,12.742508,77.5814354
2021-06-30,-6.285491403513981,-17.8612791068054,DESCENDING,Ragi,12.742508,77.5814354
2021-07-12,-6.680963771992204,-23.221880219699468,DESCENDING,Ragi,12.742508,77.5814354
2021-07-24,-8.494616449892693,-19.072174735047064,DESCENDING,Ragi,12.742508,77.5814354
2021-08-05,-10.303854488852073,-18.690678099749626,DESCENDING,Ragi,12.742508,77.5814354
2021-08-17,-11.894265216068371,-23.67861442491332,DESCENDING,Ragi,12.742508,77.5814354
2021-08-29,-10.281872436824909,-17.163963895441587,DESCENDING,Ragi,12.742508,77.5814354
2021-09-10,-7.057506462215089,-13.055553784006939,DESCENDING,Ragi,12.742508,77.5814354
2021-09-22,-8.266911699630219,-12.177925806230153,DESCENDING,Ragi,12.742508,77.5814354
2021-10-04,-5.884251180043359,-17.080659252722803,DESCENDING,Ragi,12.742508,77.5814354
2021-10-16,-7.837212498694086,-13.964818129454319,DESCENDING,Ragi,12.742508,77.5814354
2021-10-28,-8.582813417469653,-14.297721796493065,DESCENDING,Ragi,12.742508,77.5814354
2021-04-07,-12.447685973354838,-19.484058258400804,DESCENDING,Ragi,12.7409818,77.5790585
2021-04-19,-9.284658623589438,-15.448976053391732,DESCENDING,Ragi,12.7409818,77.5790585
2021-05-01,-7.932489788118559,-19.49866945193217,DESCENDING,Ragi,12.7409818,77.5790585
2021-05-13,-8.321297271892078,-14.45162047423743,DESCENDING,Ragi,12.7409818,77.5790585
2021-05-25,-11.027522510139683,-18.250591515751427,DESCENDING,Ragi,12.7409818,77.5790585
2021-06-06,-10.427146562437741,-16.6842124050101,DESCENDING,Ragi,12.7409818,77.5790585
2021-06-18,-10.435826463233877,-16.80467315641575,DESCENDING,Ragi,12.7409818,77.5790585
2021-06-30,-9.432635250173732,-19.310328812029994,DESCENDING,Ragi,12.7409818,77.5790585
2021-07-12,-9.131236541167587,-14.79303066189344,DESCENDING,Ragi,12.7409818,77.5790585
2021-07-24,-8.96682306603028,-19.81372716358184,DESCENDING,Ragi,12.7409818,77.5790585
2021-08-05,-10.901639424274945,-18.79754979330158,DESCENDING,Ragi,12.7409818,77.5790585
2021-08-17,-10.744092970709904,-16.817392582144123,DESCENDING,Ragi,12.7409818,77.5790585
2021-08-29,-8.334350225349104,-14.760581841056954,DESCENDING,Ragi,12.7409818,77.5790585
2021-09-10,-7.035975753142837,-15.569891184841048,DESCENDING,Ragi,12.7409818,77.5790585
2021-09-22,-8.413954973218003,-13.768676032525635,DESCENDING,Ragi,12.7409818,77.5790585
2021-10-04,-5.909552111719868,-19.204519512963042,DESCENDING,Ragi,12.7409818,77.5790585
2021-10-16,-8.592171228205373,-16.67405372233088,DESCENDING,Ragi,12.7409818,77.5790585
2021-10-28,-9.780474721161525,-17.47159230899173,DESCENDING,Ragi,12.7409818,77.5790585
2021-04-07,-12.447685973354838,-19.484058258400804,DESCENDING,Ragi,12.7409624,77.5790461
2021-04-19,-9.284658623589438,-15.448976053391732,DESCENDING,Ragi,12.7409624,77.5790461
2021-05-01,-7.932489788118559,-19.49866945193217,DESCENDING,Ragi,12.7409624,77.5790461
2021-05-13,-8.321297271892078,-14.45162047423743,DESCENDING,Ragi,12.7409624,77.5790461
2021-05-25,-9.100215391822077,-21.470303638890606,DESCENDING,Ragi,12.7409624,77.5790461
2021-06-06,-10.427146562437741,-16.6842124050101,DESCENDING,Ragi,12.7409624,77.5790461
2021-06-18,-10.435826463233877,-16.80467315641575,DESCENDING,Ragi,12.7409624,77.5790461
2021-06-30,-9.837863485587796,-17.804368306718832,DESCENDING,Ragi,12.7409624,77.5790461
2021-07-12,-9.131236541167587,-14.79303066189344,DESCENDING,Ragi,12.7409624,77.5790461
2021-07-24,-8.96682306603028,-19.81372716358184,DESCENDING,Ragi,12.7409624,77.5790461
2021-08-05,-10.901639424274945,-18.79754979330158,DESCENDING,Ragi,12.7409624,77.5790461
2021-08-17,-10.744092970709904,-16.817392582144123,DESCENDING,Ragi,12.7409624,77.5790461
2021-08-29,-8.334350225349104,-14.760581841056954,DESCENDING,Ragi,12.7409624,77.5790461
2021-09-10,-7.092668795210937,-19.088850919616476,DESCENDING,Ragi,12.7409624,77.5790461
2021-09-22,-8.413954973218003,-13.768676032525635,DESCENDING,Ragi,12.7409624,77.5790461
2021-10-04,-5.909552111719868,-19.204519512963042,DESCENDING,Ragi,12.7409624,77.5790461
2021-10-16,-8.592171228205373,-16.67405372233088,DESCENDING,Ragi,12.7409624,77.5790461
2021-10-28,-9.780474721161525,-17.47159230899173,DESCENDING,Ragi,12.7409624,77.5790461
2021-04-07,-12.447685973354838,-19.484058258400804,DESCENDING,Ragi,12.74096,77.5790562
2021-04-19,-9.284658623589438,-15.448976053391732,DESCENDING,Ragi,12.74096,77.5790562
2021-05-01,-7.932489788118559,-19.49866945193217,DESCENDING,Ragi,12.74096,77.5790562
2021-05-13,-8.321297271892078,-14.45162047423743,DESCENDING,Ragi,12.74096,77.5790562
2021-05-25,-9.100215391822077,-21.470303638890606,DESCENDING,Ragi,12.74096,77.5790562
2021-06-06,-10.427146562437741,-16.6842124050101,DESCENDING,Ragi,12.74096,77.5790562
2021-06-18,-10.183100358287422,-14.968293207956805,DESCENDING,Ragi,12.74096,77.5790562
2021-06-30,-9.837863485587796,-17.804368306718832,DESCENDING,Ragi,12.74096,77.5790562
2021-07-12,-9.131236541167587,-14.79303066189344,DESCENDING,Ragi,12.74096,77.5790562
2021-07-24,-10.189507614908386,-17.03499980939888,DESCENDING,Ragi,12.74096,77.5790562
2021-08-05,-10.901639424274945,-18.79754979330158,DESCENDING,Ragi,12.74096,77.5790562
2021-08-17,-10.744092970709904,-16.817392582144123,DESCENDING,Ragi,12.74096,77.5790562
2021-08-29,-8.334350225349104,-14.760581841056954,DESCENDING,Ragi,12.74096,77.5790562
2021-09-10,-7.092668795210937,-19.088850919616476,DESCENDING,Ragi,12.74096,77.5790562
2021-09-22,-8.413954973218003,-13.768676032525635,DESCENDING,Ragi,12.74096,77.5790562
2021-10-04,-5.909552111719868,-19.204519512963042,DESCENDING,Ragi,12.74096,77.5790562
2021-10-16,-8.592171228205373,-16.67405372233088,DESCENDING,Ragi,12.74096,77.5790562
