Latitude,Longitude,VV_1,VV_2,VV_3,VV_4,VV_5,VV_6,VV_7,VV_8,VV_9,VV_10,VV_11,VV_12,VV_13,VV_14,VV_15,VH_1,VH_2,VH_3,VH_4,VH_5,VH_6,VH_7,VH_8,VH_9,VH_10,VH_11,VH_12,VH_13,VH_14,VH_15,DN,Crop_Name,Height,height_numeric,Duration,duration_numeric
19.00646,83.72388,-8.04009412,-14.47233897,-11.48767341,-12.62448518,-11.75838242,-5.964995048,-7.839295136,-13.54799756,-8.079756113,-4.33999002,-8.043396381,-9.503912789,-11.59501107,-7.665114932,-8.975782653,-17.65621986,-22.50559943,-19.26191741,-22.45799773,-27.62213601,-12.64141212,-19.33904292,-20.46493636,-19.95791909,-15.77807483,-18.95330376,-15.15439226,-16.75705439,-10.84373211,-14.19657972,4,No Crop/Fallow,,,,
19.00702,83.71887,-12.70376395,-14.27094097,-13.73094998,-13.55091807,-12.94289222,-11.13872,-8.305994472,-13.29757512,-11.87996258,-7.508552539,-11.04555118,-8.074919078,-9.980351376,-9.158986097,-7.812395418,-21.32921774,-22.340172,-16.96596378,-21.68550503,-20.4195459,-15.83638024,-17.64533154,-16.58700068,-13.29740435,-19.12052958,-15.2826655,-13.53259635,-13.93432236,-17.40910383,-18.86837653,4,No Crop/Fallow,,,,
19.00728,83.71972,-9.687491605,-13.39746031,-9.49403012,-13.48744248,-12.94369641,-6.964455075,-11.30910277,-14.79958196,-7.825436119,-5.738655741,-9.694853028,-8.542966537,-9.72804825,-11.4658035,-7.822184519,-19.29581874,-19.04141511,-13.67750142,-21.72676807,-21.37037034,-20.6966967,-17.77197084,-17.92335132,-17.37256187,-12.36347499,-17.36891459,-11.93136234,-16.07393465,-17.09136824,-15.53639982,4,No Crop/Fallow,,,,
19.0074,83.72048,-12.07844957,-11.5335696,-16.20425821,-12.40102245,-12.52793007,-7.905334032,-8.364107484,-14.20622608,-8.827330607,-9.336515309,-10.95997047,-11.70338556,-7.586706834,-10.16341599,-8.712810937,-19.28396395,-21.1527714,-16.94142076,-18.09431199,-15.7489898,-15.26222444,-12.99269047,-21.04963452,-14.54119701,-12.09828512,-13.48926631,-17.98849061,-19.63546498,-18.51543958,-20.89958263,4,No Crop/Fallow,,,,
19.00748,83.71794,-9.892596285,-10.08892519,-12.92178532,-13.64286093,-18.15436799,-11.95376252,-10.00123131,-10.98261064,-12.07242702,-6.362216865,-11.53730166,-11.94832,-10.01543271,-11.41717567,-9.161191771,-22.7481626,-20.1012285,-19.76792484,-19.90482481,-15.89706575,-16.12885971,-17.47926838,-21.75050637,-13.60116937,-18.57330163,-15.85605823,-14.87437232,-20.83113954,-22.01676851,-22.8849064,4,No Crop/Fallow,,,,
19.0075,83.7187,-13.81942135,-13.68125837,-13.4138995,-17.49804705,-12.81891429,-7.68616265,-11.05625536,-13.3796219,-8.567047858,-6.912825499,-9.499791724,-12.88920732,-10.54655052,-13.36789821,-6.512440695,-17.65023377,-23.80393996,-19.99084773,-19.59219746,-21.8916234,-20.6982312,-17.73507112,-19.70233149,-15.05097795,-14.65710081,-16.36391279,-13.88897035,-16.01458036,-26.71056233,-15.43100484,4,No Crop/Fallow,,,,
19.00831,83.71916,-8.564574233,-12.80032093,-11.86621061,-9.953591907,-14.42030537,-12.48052739,-7.967017532,-10.78532614,-9.730843822,-10.95802102,-8.13384047,-8.610368085,-8.250594976,-9.275726432,-11.33854309,-15.48618759,-19.0234365,-15.19994545,-19.80175599,-16.39640223,-18.04439271,-16.15261358,-15.13083704,-15.16867201,-18.14011712,-18.06043473,-16.65689773,-22.03948063,-22.21212781,-18.14686079,4,No Crop/Fallow,,,,
19.01032,83.76882,-9.85026664,-7.591878186,-9.070913601,-9.787000969,-11.73884283,-8.957137193,-8.233800227,-11.49597309,-9.053590888,-5.852535779,-9.541318287,-9.777866228,-10.05292594,-7.764673494,-8.153379749,-15.44774085,-19.67542451,-17.01572582,-14.96117024,-20.35044206,-16.71048875,-14.40172228,-17.62808037,-17.53986129,-14.62464488,-17.09526991,-14.99210397,-13.83280763,-11.49901308,-14.54130519,4,No Crop/Fallow,,,,
19.01413,83.8641,-10.47123955,-11.14450891,-10.14238178,-12.03408029,-10.65446605,-8.831810147,-8.758344792,-11.70506852,-8.363607975,-9.686474579,-10.16749874,-7.073443112,-8.607012609,-8.906112544,-9.871228796,-15.97534382,-21.14428997,-17.7901078,-19.18814087,-15.6673093,-15.06871853,-20.9916356,-17.13034226,-12.82960641,-17.57922873,-14.43467436,-11.57157759,-12.31966507,-15.81000494,-20.09361828,4,No Crop/Fallow,,,,
19.01744,83.43063,-14.86933189,-15.05713778,-8.250026174,-10.80417207,-13.15164201,-8.643603999,-11.05962403,-9.743202059,-11.10822523,-10.16061883,-7.495932969,-8.312584576,-10.12849602,-9.420652179,-5.280644102,-25.26671131,-20.75377933,-15.44448024,-15.27370496,-18.86573826,-17.06156073,-17.93732382,-15.02154351,-18.10718507,-17.13711266,-13.95156308,-14.50979058,-17.51953805,-20.28399336,-18.83732633,4,No Crop/Fallow,,,,
19.01801,83.42939,-10.02998044,-11.40967235,-9.424834274,-10.30387982,-11.13224877,-9.124290335,-7.366903281,-9.678170552,-8.297780718,-7.226166714,-11.49178454,-15.57720679,-10.44776999,-8.844755232,-8.268763982,-17.81726029,-16.94674278,-18.60443646,-13.8978032,-18.09260562,-15.57156516,-17.019161,-16.85146714,-12.3992961,-19.5892185,-15.340009,-24.91539439,-23.00312182,-21.727262,-14.65159647,4,No Crop/Fallow,,,,
19.02084,83.37017,-15.50694549,-10.80877562,-11.14441626,-13.26540187,-12.29704671,-10.49640817,-8.817095387,-6.794358249,-6.746734035,-6.199918585,-8.91202747,-8.801219706,-7.902125878,-5.363360293,-5.29894184,-24.06650064,-23.44380992,-23.38318365,-17.17081015,-16.57534376,-17.92391803,-11.91059354,-16.19893929,-14.32330395,-14.67452533,-16.29388805,-12.97876518,-12.6451088,-15.88462184,-13.73766157,4,No Crop/Fallow,,,,
19.02166,83.36932,-11.06235804,-12.063276,-12.04490828,-8.445733961,-12.76331232,-9.7689599,-8.740614791,-8.848105999,-7.597775487,-10.86476503,-10.57869494,-14.86457451,-6.091479923,-10.08543136,-11.15400333,-18.77748474,-16.91467709,-21.3841099,-18.56264603,-18.47608526,-15.64555556,-14.96473128,-16.42264481,-12.88214385,-16.45444535,-21.19307731,-16.4204212,-23.13016557,-17.08516526,-17.01978735,4,No Crop/Fallow,,,,
19.02268,83.88673,-11.23118742,-8.823264816,-8.297958266,-10.59307584,-9.808246519,-8.807592326,-13.99304003,-14.14797327,-8.295561097,-11.79089499,-6.670125857,-7.567766917,-8.241192708,-9.791413795,-10.03173401,-19.72297544,-17.54868023,-19.93640787,-18.78382266,-20.4586637,-15.7283703,-15.57209333,-16.65278659,-18.52966569,-20.26786491,-17.78964971,-18.11371324,-17.03372278,-21.8982153,-16.80798994,4,No Crop/Fallow,,,,
19.02656,83.37158,-9.7542631,-11.26205742,-9.116407861,-8.738837972,-10.88989229,-9.588524794,-10.77329125,-6.024154216,-7.788350874,-10.53461255,-9.351277665,-9.490293329,-9.803946466,-6.488525251,-10.92371619,-18.26398608,-18.11422935,-17.05810829,-17.23795387,-14.94570199,-13.31564968,-13.56409167,-20.97533827,-16.80444022,-20.27129281,-23.77408243,-17.4175507,-19.70100907,-14.08836498,-13.44483091,4,No Crop/Fallow,,,,
19.02894,83.37586,-11.16537077,-13.50093362,-12.16014516,-10.80656791,-9.654541014,-9.213253724,-5.973600314,-9.419753506,-7.971292831,-12.39775618,-12.09085544,-12.09913868,-7.350802269,-8.681586274,-10.1185929,-21.25547034,-22.29760797,-20.09289964,-17.83883989,-18.88860734,-18.01336483,-15.20060229,-15.56618088,-13.90678491,-16.07468387,-23.33218721,-21.89400434,-18.27223773,-16.68123366,-13.97517231,4,No Crop/Fallow,,,,
19.04074,83.80286,-8.33746878,-9.813044233,-10.38422879,-13.72077492,-8.845968612,-7.726862668,-6.858366052,-9.786357113,-7.744727897,-7.413682088,-8.817184594,-8.848944467,-10.66028942,-7.538785587,-9.591036111,-15.19403778,-17.05507657,-18.66426737,-20.06140658,-18.03182033,-17.08540176,-13.7061894,-15.5563522,-16.05239846,-17.81017896,-20.12571385,-16.36747745,-15.97035093,-16.48438597,-15.63399086,4,No Crop/Fallow,,,,
19.04087,83.804,-11.64576418,-16.64330977,-13.62954249,-9.632810843,-14.4282434,-10.45229325,-10.68462682,-12.45337458,-8.686614201,-8.297901415,-8.309437354,-12.00389728,-8.454761267,-8.205930813,-9.97619938,-18.68332805,-20.32537813,-17.98082543,-16.95406304,-22.28426151,-16.34295719,-17.32866747,-18.4420823,-19.328834,-16.28834437,-17.15438598,-18.75102693,-15.68525235,-18.90646822,-16.02003039,9,Maize,,,,
19.04307,83.79927,-3.897941656,-9.02558873,-12.27441689,-10.98372086,-10.6135477,-9.391296223,-8.117393466,-10.94972861,-12.36755798,-8.12361886,-9.098999863,-13.95311624,-10.58378604,-7.495176792,-9.709967523,-18.54206488,-15.58209959,-17.53123891,-16.75159861,-20.58658697,-13.96302263,-17.13747504,-15.47683929,-12.60124801,-14.79749004,-14.46435573,-15.94634786,-23.43245097,-20.93133709,-18.1026872,4,No Crop/Fallow,,,,
19.0431,83.7971,-9.369584353,-16.04227218,-11.93315573,-13.07887782,-13.06263767,-13.08999241,-7.101151376,-12.06829306,-8.854301277,-10.54342433,-9.776276129,-9.649478149,-12.73014002,-7.70443114,-8.18120664,-16.30348239,-20.43859896,-16.58993502,-23.76393447,-21.44068188,-19.76498461,-16.49898208,-16.48509062,-19.71388215,-16.7063391,-17.01292644,-16.60862118,-18.68649739,-15.40758295,-15.96728655,4,No Crop/Fallow,,,,
19.04332,83.7965,-11.04309103,-12.08421067,-9.814535924,-11.22141921,-12.73812421,-9.143007588,-11.76013149,-10.80948786,-10.85343017,-7.344312534,-10.49690408,-11.01037598,-11.43459789,-12.10675021,-9.107424557,-16.44705178,-23.21051207,-17.41189787,-19.41756395,-19.50796149,-17.46904822,-18.89795318,-17.95260894,-17.93150142,-14.75078255,-16.10393429,-14.69078917,-15.59124601,-16.65550095,-21.98900019,4,No Crop/Fallow,,,,
19.04477,83.79649,-7.371389284,-6.190089526,-6.387561275,-13.36088926,-13.93240498,-9.558449107,-9.210437063,-11.93145522,-6.654969851,-11.77662961,-10.25565819,-8.830511727,-8.325650501,-12.2103094,-8.711784273,-12.43250274,-17.49304194,-13.61968613,-17.48175595,-20.01204689,-17.46342634,-14.92772472,-20.89679721,-12.63653264,-16.55790641,-17.11397357,-15.23345519,-15.50363526,-21.32191413,-21.26585056,4,No Crop/Fallow,,,,
19.04489,83.7971,-6.987782252,-11.86492187,-7.010151377,-12.15263343,-12.61047857,-13.10091645,-7.953305003,-8.877083384,-9.935713344,-9.823574212,-9.236198488,-7.903976278,-8.402713167,-7.692817532,-7.238024876,-15.48695959,-19.29250901,-14.11438088,-14.28940777,-17.34244418,-13.73952853,-15.28000636,-14.84225902,-20.46508717,-16.14712496,-17.50305703,-18.42220059,-14.69466116,-21.483545,-17.71211164,4,No Crop/Fallow,,,,
19.05145,83.52673,-15.88600629,-15.35695275,-12.17301403,-12.09478608,-12.64293537,-11.72859809,-7.99187754,-9.00244058,-7.45158837,-12.50904271,-7.695060805,-10.92691267,-12.8721614,-12.45990493,-10.06816501,-19.90565823,-17.62626104,-15.00769613,-19.83749077,-22.15504942,-16.27714604,-18.45136998,-16.30766386,-16.38148835,-14.21343706,-18.26074677,-14.18190167,-14.5720658,-16.11106013,-13.61150027,4,No Crop/Fallow,,,,
19.05152,83.5263,-8.865799251,-10.82824768,-8.835657252,-10.2088559,-9.66930692,-11.50877414,-6.162695228,-10.93105963,-14.08753598,-11.812662,-6.160853023,-7.226010227,-10.92312944,-9.40026127,-9.048735116,-22.14705417,-19.39497543,-14.71338808,-14.24324191,-19.83033557,-13.86103475,-15.43337536,-19.49419017,-16.42792271,-18.08609346,-11.3187206,-14.73095957,-12.65949873,-17.6863146,-19.79757964,4,No Crop/Fallow,,,,
19.05657,83.87296,-10.23028732,-12.94169384,-11.79474784,-15.10045243,-10.80670973,-10.80809506,-6.775050283,-9.040494481,-9.970443187,-10.05411672,-10.82470941,-8.167228472,-10.93978926,-7.118988038,-9.634576221,-16.48140404,-18.79124541,-20.16106954,-19.56792002,-17.63897902,-17.43780204,-18.8551993,-18.99446262,-16.1647555,-17.2257211,-15.6285,-18.60925236,-14.84399947,-17.53242531,-18.11807648,4,No Crop/Fallow,,,,
19.05671,83.88234,-11.4328329,-11.73469475,-9.469817875,-10.93337768,-11.26455911,-11.83956555,-12.38141399,-9.945750232,-12.09571103,-10.96247201,-12.10671499,-10.55976497,-10.83632565,-8.883769069,-9.732160295,-16.9294047,-20.39230818,-22.69118537,-18.62347381,-18.38944623,-15.65461605,-20.13626148,-15.75627113,-16.1154244,-13.88150016,-21.41513222,-24.64932342,-19.04918039,-15.62455233,-20.19170581,36,Rice,,,,
19.057,83.05313,-11.92939209,-7.018267323,-10.29503896,-5.157202656,-7.889402093,-11.41470509,-9.925312186,-6.990788944,-9.995622237,-8.670081584,-8.376301746,-9.376935361,-6.089986189,-10.31901117,-6.626111102,-16.14221426,-17.76239524,-14.78857342,-16.1599675,-15.73354069,-16.68322931,-14.59006415,-14.44661266,-14.62947855,-12.67987735,-16.62619123,-12.94700399,-15.57397718,-13.53042522,-16.64825048,36,Rice,,,,
19.05824,83.86645,-9.710164567,-8.774128647,-9.583126701,-12.14935625,-10.3567688,-8.887372974,-9.301479749,-11.06591921,-13.43846628,-10.69882786,-7.405953405,-6.352008391,-6.768080342,-10.26512592,-13.93220173,-21.20999831,-15.86985944,-17.15789775,-17.1022166,-16.66718266,-18.63190577,-21.13803825,-18.16513092,-25.47824579,-16.36649587,-20.28296277,-18.26164033,-17.39556332,-15.14851178,-20.26667557,4,No Crop/Fallow,,,,
19.05879,83.91645,-8.656437649,-7.874710031,-11.72184275,-9.719016827,-10.01290156,-8.915612057,-7.307344591,-9.40697478,-10.12775151,-11.56770641,-12.22823515,-10.89200171,-9.752130544,-7.425575874,-10.25849871,-13.53175674,-17.54965974,-16.84599131,-16.97445582,-16.95709529,-13.33728507,-16.27405707,-17.05528311,-14.75357519,-19.15862406,-21.52951653,-18.39518225,-19.93452016,-20.51441459,-17.59300514,4,No Crop/Fallow,,,,
19.06026,83.81554,-12.06280536,-13.17414938,-10.11709245,-11.97331295,-12.49747643,-7.798984,-12.77341782,-11.32092005,-8.041633213,-10.55082083,-9.825072011,-8.408786435,-8.501570809,-8.05829102,-6.054094463,-15.58947448,-15.15804826,-17.76363103,-19.21290819,-18.9660008,-14.11286115,-15.91447233,-15.48551443,-15.402885,-12.78089424,-14.82309261,-20.29521524,-18.04001963,-17.03210507,-18.23983044,4,No Crop/Fallow,,,,
19.06067,83.92149,-11.02733394,-14.3248501,-10.32504683,-12.56425679,-10.44631062,-7.858179594,-9.455059583,-12.19795578,-7.767168986,-7.560308039,-8.434649335,-11.10978412,-11.23492981,-5.340127571,-10.03525339,-18.91660202,-20.78062789,-15.96355332,-19.89138112,-18.21060328,-16.18564807,-17.81827831,-19.30382758,-16.54390836,-12.98850433,-13.33564112,-14.43128534,-19.41973907,-20.88268072,-15.89702613,4,No Crop/Fallow,,,,
19.06134,83.80418,-10.56278986,-8.741281164,-9.044776445,-12.34291294,-9.128313715,-7.941288174,-7.112255213,-9.341527653,-10.41044426,-4.639963005,-9.331856909,-6.835641083,-7.764232192,-5.292580959,-8.171608305,-16.00189937,-18.97517112,-15.74296528,-19.68785521,-18.271972,-13.83569997,-17.76502674,-22.486656,-20.85649225,-14.46947235,-16.87331375,-17.46577983,-11.15903932,-12.68528436,-11.83816462,4,No Crop/Fallow,,,,
19.06157,83.5196,-8.009957012,-8.398105268,-6.092193297,-9.292876406,-9.281703959,-13.27696013,-4.980972398,-4.50788089,-3.459692657,-9.264488421,-6.52763773,-6.886981512,-6.837008849,-6.395353979,-8.514231332,-13.15439533,-18.84498718,-16.60741614,-17.59548852,-13.7037669,-15.99247926,-15.27946535,-14.1430737,-16.69409035,-11.70151077,-15.73045969,-11.98044171,-12.615008,-17.49912709,-11.76921124,4,No Crop/Fallow,,,,
19.06161,83.80361,-11.08258186,-15.51314368,-8.703142782,-10.57546131,-12.23267522,-4.470655092,-9.811847406,-12.75312567,-14.3155723,-7.270883026,-9.763710476,-4.347473323,-8.585630139,-5.61879037,-9.058098341,-15.75946557,-22.2364137,-17.22922439,-19.32064958,-20.48377769,-17.7576192,-20.88003044,-24.15652882,-22.9548846,-15.72561916,-20.36621528,-15.82532061,-13.93117401,-14.66084018,-11.93615443,4,No Crop/Fallow,,,,
19.06174,83.91037,-12.02028625,-12.6086985,-14.45520728,-13.64085734,-9.467621255,-10.80835191,-10.69870815,-10.65852416,-11.48106119,-11.68751024,-11.04712233,-10.59564004,-10.4973743,-8.647563251,-9.502266664,-19.04713051,-18.07922458,-20.63206467,-22.91079677,-21.30445454,-17.65212017,-17.57922641,-16.63033869,-18.33776431,-16.90012525,-16.93626746,-15.02730954,-20.66191842,-15.26666269,-20.23637083,4,No Crop/Fallow,,,,
19.06206,83.91112,-8.211177124,-11.70941717,-9.580184284,-11.81126089,-8.564382189,-6.033073101,-9.782532298,-11.385299,-12.18241659,-12.47791749,-12.1374768,-7.878471299,-12.54274832,-17.40237433,-12.22219114,-15.77400296,-18.60063066,-17.31977487,-19.24453131,-17.3827817,-14.75088158,-17.41036026,-18.16539072,-17.74071472,-17.99691342,-16.78220841,-23.85921358,-23.22793246,-23.6788036,-20.25609853,4,No Crop/Fallow,,,,
19.06244,83.92247,-13.26950033,-14.00349515,-12.47624414,-11.20776505,-13.29465147,-9.708443236,-9.754665212,-12.21843339,-7.892069094,-9.439818811,-7.020585695,-14.99504959,-11.48555963,-7.711142749,-3.940188833,-20.30772553,-20.42473763,-16.1289725,-20.19339068,-19.18686379,-13.81857119,-17.67024638,-17.21343198,-13.23402695,-14.8412645,-17.2797705,-22.0771021,-17.70581863,-22.3589422,-20.00581336,4,No Crop/Fallow,,,,
19.06257,83.92086,-9.534134457,-12.03151892,-9.572048585,-12.22330586,-12.35968052,-8.650705458,-9.658300764,-11.44038494,-10.58237571,-7.857965794,-10.81181875,-7.952173263,-10.29852434,-8.71336382,-11.12278707,-17.92199504,-20.19885358,-18.60535462,-19.8612954,-17.87312575,-16.37332493,-20.59154995,-20.89346004,-19.23336806,-16.19344168,-19.37042883,-15.4889125,-19.05622266,-20.67528788,-16.3784919,4,No Crop/Fallow,,,,
19.06302,83.91721,-9.174154552,-9.847995506,-9.651090863,-9.718667133,-8.359980383,-7.51164393,-7.540031619,-11.18103627,-9.648977917,-5.869058676,-9.02151703,-12.58064269,-9.609217072,-7.453284837,-6.011648975,-15.19781434,-16.69789511,-19.24661533,-20.67406046,-14.69242516,-16.85920144,-17.11879762,-21.48371831,-13.02267287,-11.97289452,-13.58135447,-18.69978222,-20.02861158,-22.06165311,-19.03891956,4,No Crop/Fallow,,,,
19.06311,83.52218,-9.581177307,-13.37541084,-8.32821847,-11.74071592,-11.41306733,-10.70705683,-4.066697687,-5.489229093,-10.09001092,-5.357773664,-8.190653439,-6.931736685,-9.668235686,-13.57386673,-7.23513211,-19.79191806,-18.98779715,-14.41395867,-14.35578944,-20.99835891,-14.35872278,-12.70974516,-13.69973178,-17.67578501,-20.16959338,-17.29986802,-15.68873338,-14.77840211,-18.63963138,-19.22981933,4,No Crop/Fallow,,,,
19.06313,83.52068,-11.16274243,-9.997045087,-6.556459111,-10.00384311,-10.89458805,-8.324831518,-9.571962089,-5.102346816,-4.431509849,-6.847419414,-7.699006372,-7.566659981,-7.18275987,-6.91236489,-7.439099634,-21.90914416,-25.85882438,-17.11341921,-18.95454544,-17.80303502,-18.46413912,-16.61757329,-13.34018067,-10.66305118,-21.43598082,-15.02393708,-18.48520801,-16.12408459,-17.13780313,-14.70221055,4,No Crop/Fallow,,,,
19.0633,83.92164,-8.984051869,-10.32823322,-12.86803655,-11.96846342,-11.31757659,-12.98532715,-7.205325388,-12.04339163,-9.916259533,-5.50953767,-11.11298679,-8.096703861,-11.52029905,-7.312035014,-8.907161038,-16.41325386,-20.9389285,-16.24716673,-19.45352074,-17.33679927,-18.36660344,-16.28551018,-21.8973597,-14.25252007,-14.73394978,-15.44371434,-16.6814955,-18.19351095,-21.56437999,-25.57171842,4,No Crop/Fallow,,,,
19.0634,83.52093,-14.00033691,-9.820181834,-5.41610331,-9.578016876,-10.62703445,-7.417207208,-9.464167376,-5.510484955,-3.62847142,-12.30809094,-4.184115526,-4.765469144,-4.840422203,-8.616589829,-5.987459073,-20.99335575,-17.82335678,-14.18554936,-15.79871333,-21.026103,-14.54209473,-17.25557702,-13.0482562,-16.37322772,-16.59879986,-18.63101237,-14.3961906,-14.75784566,-18.3375464,-14.827789,4,No Crop/Fallow,,,,
19.0636,83.91874,-12.82322455,-13.58983234,-11.43181321,-15.38472549,-8.035900858,-11.94321431,-13.00591411,-12.98628502,-11.24604531,-10.858393,-10.22313187,-8.938646452,-13.4491546,-7.231809827,-10.6860177,-17.92428467,-20.16290087,-19.89252763,-26.1449084,-17.9815242,-19.17907393,-20.05682388,-24.15769389,-22.87711555,-19.12704279,-18.18571422,-17.35986969,-15.75768074,-14.24744741,-20.64416939,4,No Crop/Fallow,,,,
19.06382,83.91192,-7.96344848,-9.762772564,-10.67404742,-14.86493555,-11.12399868,-8.986114846,-7.285352728,-10.00963534,-9.529909128,-7.944439531,-11.00479931,-9.730888225,-10.84725642,-11.03422538,-6.244538752,-16.22761026,-20.34567863,-18.39236371,-20.32965982,-12.9941999,-15.08623753,-16.56414416,-18.36350481,-16.2101437,-16.42704498,-17.46435071,-16.52492556,-21.01625307,-19.10167187,-16.26458324,4,No Crop/Fallow,,,,
19.06382,83.91077,-11.65330496,-14.09016161,-12.32792204,-14.27087436,-6.461255788,-4.810720648,-8.372367241,-12.14434386,-10.60665051,-11.32609112,-13.76492279,-8.515623376,-9.298644397,-17.27675163,-11.32288102,-18.23227675,-19.24729174,-21.46775434,-20.34112736,-17.84335461,-15.80603331,-14.66014702,-17.63459901,-15.41120064,-15.87457693,-16.94891156,-13.53690899,-13.67245523,-22.74202501,-23.38374518,4,No Crop/Fallow,,,,
